title,description,content,source,publishedAt
India auto M&A and PE deals fall to $1.46 billion in H1 2026; Q2 transactions drop 43 per cent,Investment in aAuto has shrunk to $1.46 billion from nearly $2.8 billion in the first half; Q2 as deal volumes tumbled by 43 per cent as investors concentrated on mobility platforms,"Indias automotive sector recorded 55 mergers, acquisitions and private equity (PE) transactions worth $1.46 billion in the first half of 2026, against 59 deals valued at nearly $2.8 billion in the pr… [+4140 chars]",BusinessLine,2026-07-13T10:39:11Z
Progress orders emergency ShareFile server shutdown over mystery security threat,"Vendor insists there's no evidence of unauthorized access, but it's asking customers to take one of the most drastic precautions available","Progress Software has ordered some ShareFile customers to pull the plug on their own servers after detecting what it describes as a ""credible external security threat"" targeting the on-premises compo… [+3049 chars]",Theregister.com,2026-07-13T10:31:00Z
Nova Minerals Announces it has Completed the Engineering and Design of its Antimony Pilot Plant,"Anchorage, Alaska, July 13, 2026 (GLOBE NEWSWIRE) -- Nova Minerals Corp (“Nova Minerals” or the “Company”) (NYSE American: NVA | ASX: NVA) is pleased to announce the completion of the engineering and design for its Estelle antimony pilot processing plant in A…","Anchorage, Alaska, July 13, 2026 (GLOBE NEWSWIRE) -- Nova Minerals Corp (Nova Minerals or the Company) (NYSE American: NVA | ASX: NVA) is pleased to announce the completion of the engineering and des… [+7735 chars]",GlobeNewswire,2026-07-13T10:30:00Z
Hellenic Plastics Industry Association: Resilience strategy needed to keep industry and investment in Europe,"Geopolitical tensions, volatility in global energy markets, shifts in international supply chains and uneven global competition are reshaping the outlook for the manufacturing economy and creating the need for a…
Hellenic Plastics Industry Association: Resili…","Geopolitical tensions, volatility in global energy markets, shifts in international supply chains and uneven global competition are reshaping the outlook for the manufacturing economy and creating th… [+2490 chars]",Naftemporiki.gr,2026-07-13T10:23:33Z
Meet the investors and entrepreneurs shopping to keep Canada’s defence supply chain sovereign,"Rym Leulmi is considering moving herself and her two young children from Montreal to rural Nova Scotia to run a defence technology company.
The electrical engineer, with an MBA, a master’s degree in nanotechnology and 15 years of experience in management role…","Rym Leulmi is considering moving herself and her two young children from Montreal to rural Nova Scotia to run a defence technology company.The electrical engineer, with an MBA, a masters degree in na… [+148 chars]",Biztoc.com,2026-07-13T10:21:23Z
HUBG Class Alert: Hub Group Misrepresentations about Financial Restatements Under Review in Securities Fraud Class Action – Contact BFA Law if You Lost Money,Hub Group Misrepresentations about Financial Restatements Under Review in Securities Fraud Class Action – Contact BFA Law if You Lost Money...,"NEW YORK, July 13, 2026 (GLOBE NEWSWIRE) -- Leading securities law firm Bleichmar Fonti &amp; Auld LLP announces that a class action lawsuit has been filed against Hub Group Inc. (NASDAQ:HUBG) and ce… [+5809 chars]",GlobeNewswire,2026-07-13T10:16:00Z
Health Ministry partners with Takeda for US$30m plasma ecosystem,The Indonesian Health Ministry partnered with global biopharmaceutical giant Takeda to establish the country&rsquo;s first plasma-derived medicinal product ...,"Jakarta (ANTARA) - The Indonesian Health Ministry partnered with global biopharmaceutical giant Takeda to establish the country’s first plasma-derived medicinal product (PDMP) ecosystem, supported by… [+3542 chars]",Antaranews.com,2026-07-13T10:06:27Z
Trust-based cyberattacks replacing traditional hacking as biggest threat to financial institutions: Report,"The report stated that attackers are manipulating trust in biometric onboarding, partner applications, AI decision-making, and real-time payments, creating new threats for the BFSI sector","Cyber threats targeting financial institutions are rapidly shifting from traditional hacking to trust-based attacks, with cybercriminals increasingly exploiting digital identities, artificial intelli… [+3138 chars]",BusinessLine,2026-07-13T10:03:25Z
Tetra Pak Introduces Industry-first Carton Packaging for Shelf-stable Tuna,"Tetra Pak, in collaboration with the Spanish leading seafood producer Jealsa, has unveiled the industry&#39;s first carton packaging for shelf stable tuna. ...","Tetra Recart® offers a cost competitive, paper-based packaging alternativeJakarta, Indonesia (ANTARA/PRNewswire)- Tetra Pak, in collaboration with the Spanish leading seafood producer Jealsa, has unv… [+7591 chars]",Antaranews.com,2026-07-13T10:02:42Z
"Current price of oil as of July 13, 2026","When oil prices change, it affects your energy costs—and even the price of everyday items. Here’s why.","As of 6 a.m. Eastern Time today, oil sold for $78.31 per barrel (using Brent as the benchmark, which well get into momentarily). Thats $1.08 lower than yesterday morning and approximately a $7.24 ris… [+5403 chars]",Fortune,2026-07-13T10:00:14Z
Chinese EV makers are outpacing U.S. automakers in overseas investments,"China has a saturated domestic market, which has led Chinese companies to look elsewhere to sell electric vehicles.","Already dominant electric vehicle exporters, Chinese automakers have been expanding their footprint by announcing investments and building factories on virtually every continent. 
Those auto compani… [+5767 chars]",CNBC,2026-07-13T10:00:02Z
EV Charging Cable Market worth $5.63 billion by 2033 | MarketsandMarkets™,"DELRAY BEACH, Fla., July 13, 2026 /PRNewswire/ -- According to MarketsandMarkets™, the EV Charging Cable Market is projected to grow from USD 2.01 billion in 2026 and to reach USD 5.63 billion by 2033, at a Compound Annual Growth Rate (CAGR) of 15.8% during t…","DELRAY BEACH, Fla., July 13, 2026 /PRNewswire/ -- According to MarketsandMarkets, the EV Charging Cable Market is projected to grow from USD 2.01 billion in 2026 and to reach USD 5.63 billion by 2033… [+12625 chars]",PRNewswire,2026-07-13T10:00:00Z
"Iran conflict hits Eurozone growth, forecast cut amid energy crisis","The Iran conflict exacerbates Eurozone's economic vulnerabilities, highlighting the fragility of global energy supply and geopolitical stability.
The post Iran conflict hits Eurozone growth, forecast cut amid energy crisis appeared first on Crypto Briefing.","The ongoing conflict involving Iran, the United States, and Israel has led to significant economic challenges for Eurozone countries, as reported by Telex.hu. The European Commission’s latest report … [+1867 chars]",Crypto Briefing,2026-07-13T09:49:49Z
Advancing Low-Carbon Manufacturing and Global Sustainability Commitments,"Report highlights clean energy, innovation and ESG recognition ZIBO, China, July 13, 2026 /PRNewswire/ -- INTCO Medical (""the Company""), a leading global manufacturer of disposable gloves, has released its 2025 Environmental, Social and Governance (ESG) Repor…","Report highlights clean energy, innovation and ESG recognition
ZIBO, China, July 13, 2026 /PRNewswire/ -- INTCO Medical (""the Company""), a leading global manufacturer of disposable gloves, has relea… [+4183 chars]",PRNewswire,2026-07-13T09:49:00Z
Spotting Market Bubbles: Why History Says It’s Nearly Impossible,"If you knew you were standing inside a stock market bubble, you wouldn't be standing in it for long. You'd sell. So would I, and so would everyone reading this. And if spotting market bubbles was something everyone could do in real time, the bubble couldn't f…","If you knew you were standing inside a stock market bubble, you wouldn’t be standing in it for long. You’d sell. So would I, and so would everyone reading this. And if spotting market bubbles was som… [+12358 chars]",Realinvestmentadvice.com,2026-07-13T09:48:00Z
Oil prices surge 5% as Iran closes Strait of Hormuz,"The closure of the Strait of Hormuz heightens geopolitical tensions, potentially leading to prolonged global oil supply disruptions and price volatility.
The post Oil prices surge 5% as Iran closes Strait of Hormuz appeared first on Crypto Briefing.",Oil prices surged by up to 5% following Iran’s announcement of the closure of the Strait of Hormuz. The declaration by Iran’s Islamic Revolutionary Guard Corps comes in response to recent U.S. milita… [+1897 chars],Crypto Briefing,2026-07-13T09:45:57Z
I Went Inside America’s Top Lab to Prevent Shoplifting. It Was More Revealing Than I Could Have Imagined.,"At the headquarters of the war on “shrink,” I saw too much.","They call it Justins General Store, and in theory, there is no place on Earth harder to steal from. Every item sits beneath a chandelier of cameras. The clothes are tagged with sensors that screech o… [+41277 chars]",Slate Magazine,2026-07-13T09:45:00Z
"'Super' El Niño Could Trigger Severe Global Food Price Shock Lasting Into 2028, Economists Warn","Economists warn a 'super' El Niño could exacerbate global food inflation, already impacted by the Iran conflict, with effects potentially lasting until 2028, affecting supply chains and agricultural production.","Economists are warning that a potentially historic ""super"" El Niño weather cycle developing this year could trigger a severe shock to global food prices lasting into 2028, compounding inflation alrea… [+6945 chars]",Ibtimes.com.au,2026-07-13T09:22:58Z
Asian tech firms seeking to follow SK Hynix may find foreign investors more selective,"By Kane Wu and Saqib Iqbal Ahmed
HONG KONG/NEW YORK, July 13 (Reuters) - South Korean chipmaker SK Hynix may have had a rousing $26.5 billion U.S. share sale and market debut last week, but that owed much to its pivotal role in the AI supply chain and timing.…","By Kane Wu and Saqib Iqbal AhmedHONG KONG/NEW YORK, July 13 (Reuters) - South Korean chipmaker SK Hynix may have had a rousing $26.5 billion U.S. share sale and market debut last week, but that owed … [+148 chars]",Biztoc.com,2026-07-13T09:22:35Z
